TimeStep,Time,"Points:0","Points:1","Points:2"
1,1.00000e+00,1.70693e+00,4.43860e-01,6.63283e-02
1,1.00000e+00,2.06042e+00,4.38695e-01,5.86095e-02
1,1.00000e+00,2.54514e+00,4.41668e-01,3.08606e-02
1,1.00000e+00,3.08319e+00,4.78915e-01,4.15247e-02
1,1.00000e+00,3.50410e+00,4.37744e-01,7.89611e-02
1,1.00000e+00,4.03806e+00,4.76078e-01,5.79632e-02
1,1.00000e+00,4.47142e+00,4.51243e-01,8.69061e-02
1,1.00000e+00,4.96919e+00,4.16862e-01,9.73548e-02
1,1.00000e+00,4.81456e-01,5.47450e-01,3.16697e-02
1,1.00000e+00,1.00310e+00,5.56178e-01,6.67275e-02
1,1.00000e+00,1.49389e+00,5.29938e-01,8.47265e-03
1,1.00000e+00,1.84692e+00,5.75589e-01,9.14674e-02
1,1.00000e+00,2.36960e+00,5.88109e-01,8.83348e-02
1,1.00000e+00,2.83378e+00,5.65563e-01,7.99517e-02
1,1.00000e+00,3.33405e+00,5.72531e-01,1.07126e-02
1,1.00000e+00,3.87425e+00,5.03854e-01,7.48850e-02
1,1.00000e+00,4.25021e+00,5.41811e-01,4.28005e-02
1,1.00000e+00,4.71019e+00,5.21444e-01,2.80692e-02
1,1.00000e+00,2.89695e-01,6.63408e-01,6.68605e-03
1,1.00000e+00,7.93371e-01,6.42716e-01,9.93030e-05
1,1.00000e+00,1.22657e+00,6.80194e-01,8.84350e-02
1,1.00000e+00,1.64252e+00,6.65374e-01,2.21855e-02
1,1.00000e+00,2.14883e+00,6.04277e-01,7.12748e-03
1,1.00000e+00,2.68970e+00,6.26884e-01,5.56982e-02
1,1.00000e+00,3.15245e+00,6.57367e-01,6.98254e-02
1,1.00000e+00,3.65179e+00,6.99377e-01,7.27028e-02
1,1.00000e+00,4.05465e+00,6.99038e-01,2.46796e-02
1,1.00000e+00,4.57411e+00,6.31618e-01,8.45425e-04
1,1.00000e+00,3.27011e-02,7.60730e-01,3.66502e-02
1,1.00000e+00,5.75097e-01,7.78587e-01,1.37522e-02
1,1.00000e+00,1.08801e+00,7.65161e-01,3.89425e-02
1,1.00000e+00,1.42774e+00,7.09679e-01,7.01891e-02
1,1.00000e+00,1.93090e+00,8.00201e-01,6.26215e-02
1,1.00000e+00,2.48414e+00,7.53352e-01,8.45746e-02
1,1.00000e+00,2.94399e+00,7.43557e-01,9.00091e-02
1,1.00000e+00,3.46489e+00,7.59490e-01,2.63480e-02
1,1.00000e+00,3.81156e+00,7.32093e-01,2.93010e-02
1,1.00000e+00,4.33101e+00,7.64661e-01,8.66356e-02
1,1.00000e+00,4.86780e+00,7.17533e-01,1.31431e-02
1,1.00000e+00,3.92046e-01,8.15824e-01,2.14885e-03
1,1.00000e+00,8.36644e-01,8.74693e-01,9.16227e-02
1,1.00000e+00,1.28103e+00,8.50452e-01,7.56527e-02
1,1.00000e+00,1.73914e+00,8.96339e-01,1.77219e-02
1,1.00000e+00,2.27531e+00,8.53104e-01,3.25138e-02
1,1.00000e+00,2.75058e+00,8.49235e-01,5.84095e-03
1,1.00000e+00,3.28083e+00,8.68016e-01,2.42948e-02
1,1.00000e+00,3.66654e+00,8.77381e-01,4.36197e-02
1,1.00000e+00,4.19629e+00,8.91958e-01,1.03017e-02
1,1.00000e+00,4.60879e+00,8.02686e-01,3.83713e-02
1,1.00000e+00,2.05852e-01,9.41437e-01,3.16082e-02
1,1.00000e+00,6.98321e-01,9.25026e-01,8.43573e-02
1,1.00000e+00,1.01377e+00,9.82690e-01,3.67833e-02
1,1.00000e+00,1.58111e+00,9.56094e-01,6.36891e-02
1,1.00000e+00,2.02612e+00,9.27323e-01,3.60013e-02
1,1.00000e+00,2.53323e+00,9.39755e-01,9.78979e-02
1,1.00000e+00,3.10095e+00,9.28802e-01,7.72844e-02
1,1.00000e+00,3.48316e+00,9.67472e-01,2.63577e-02
1,1.00000e+00,3.99041e+00,9.32246e-01,8.17925e-03
1,1.00000e+00,4.47484e+00,9.33445e-01,4.79894e-02
1,1.00000e+00,4.97616e+00,9.90551e-01,3.72662e-02
1,1.00000e+00,4.70172e-01,1.07096e+00,9.73617e-02
1,1.00000e+00,8.64473e-01,1.09046e+00,4.76451e-02
1,1.00000e+00,1.38326e+00,1.04004e+00,5.40517e-02
1,1.00000e+00,1.81383e+00,1.07273e+00,1.83350e-02
1,1.00000e+00,2.34354e+00,1.05898e+00,8.74537e-02
1,1.00000e+00,2.81334e+00,1.02503e+00,3.55119e-02
1,1.00000e+00,3.22129e+00,1.05676e+00,4.76309e-02
1,1.00000e+00,3.77426e+00,1.00860e+00,2.79779e-02
1,1.00000e+00,4.22939e+00,1.01128e+00,2.33405e-02
1,1.00000e+00,4.73829e+00,1.04463e+00,1.40072e-02
1,1.00000e+00,2.51879e-01,1.16714e+00,4.23076e-02
1,1.00000e+00,6.84918e-01,1.20103e+00,7.76425e-02
1,1.00000e+00,1.13492e+00,1.10823e+00,5.42619e-02
1,1.00000e+00,1.65858e+00,1.19283e+00,6.85533e-02
1,1.00000e+00,2.19106e+00,1.12668e+00,4.27653e-02
1,1.00000e+00,2.69346e+00,1.14092e+00,9.51649e-03
1,1.00000e+00,3.09646e+00,1.17407e+00,2.35062e-02
1,1.00000e+00,3.51749e+00,1.14300e+00,4.76169e-02
1,1.00000e+00,4.09782e+00,1.15902e+00,3.82280e-02
1,1.00000e+00,4.51115e+00,1.14972e+00,7.10156e-02
1,1.00000e+00,9.19489e-02,1.25513e+00,7.49119e-02
1,1.00000e+00,4.70209e-01,1.23315e+00,5.39437e-02
1,1.00000e+00,9.58787e-01,1.29361e+00,1.84789e-02
1,1.00000e+00,1.44738e+00,1.25423e+00,4.01444e-02
1,1.00000e+00,2.00331e+00,1.21931e+00,8.93119e-02
1,1.00000e+00,2.47731e+00,1.28463e+00,7.09861e-02
1,1.00000e+00,2.85739e+00,1.22694e+00,9.02181e-02
1,1.00000e+00,3.32286e+00,1.22495e+00,2.90183e-02
1,1.00000e+00,3.84314e+00,1.28670e+00,3.13305e-02
